# Journal des requêtes WebSearch — collecte C — 2026-09-06 (budget 200)
Q001 | V1 | "Développeur Full Stack" "emplois" "2026" site:fr.indeed.com
Q060 | V2 | sécurité applicative DevSecOps OWASP compétence offres d'emploi développeurs France 2026
Q061 | V2 | soft skills développeurs les plus demandées offres d'emploi France 2025 2026 étude
Q062 | V2 | anglais exigé offres d'emploi développeurs informatique France part des offres étude 2025 2026 (pas de part précise ; trouvé Apec 2025 -20 %)
Q063 | V2 | Stack Overflow Developer Survey 2025 most popular technologies languages JavaScript Python TypeScript percentage
Q064 | V2 | JetBrains State of Developer Ecosystem 2025 results languages TypeScript Python Rust Go percentage
Q065 | V2 | State of JS 2025 results React Vue Angular Svelte usage percentage frameworks (retourne SO 2025 frameworks)
Q066 | V2 | CoderPad CodinGame tech hiring survey 2025 OR 2026 langages les plus demandés recruteurs JavaScript Python Java
Q067 | V2 | Apec étude 2026 développeurs offres cadres informatique 2025 baisse 20 % compétences recherchées ESN débutants
Q068 | V2 | Numeum OR OPIIEC étude 2025 OR 2026 compétences numérique développeurs besoins recrutement métiers en tension
Q069 | V2 | Malt baromètre freelance tech 2026 compétences les plus recherchées développeurs IA TJM France
Q070 | V2 | SQL PostgreSQL MongoDB bases de données compétence offres d'emploi développeur France 2026 Indeed emplois
Q071 | V2 | Azure GCP cloud compétences offres d'emploi France 2026 Indeed "emplois" Azure OR GCP développeur
Q072 | V2 | CI/CD GitLab Jenkins Agile Scrum compétences offres d'emploi développeur France 2026 Indeed emplois
Q073 | V2 | Le Monde Informatique "demande en développeurs" 2025 Apec érode offres langages compétences les plus citées
Q074 | V2 | Apec "compétences" les plus recherchées offres cadres informatique 2025 langages Java JavaScript Python part des offres développeur
Q075 | V2 | site:fr.indeed.com "Node Js" OR "Nodejs" OR "Python" OR "C#" emplois 2026 "plus de"
Q076 | V2/V4 | France Travail fiche ROME M1805 développeur informatique compétences savoir-faire tendances recrutement 2025 2026
Q077 | V2 | Welcome to the Jungle OR Talent.com OR Glassdoor étude 2026 compétences tech les plus demandées France développeurs classement offres
Q078 | V1/V3 | "Développeur IA" OR "Développeur Intelligence Artificielle" emplois Indeed 2026 site:fr.indeed.com "plus de"
Q079 | V2 | free-work.com "Salaires IT par technologie" 2026 France Java Python React Angular .NET salaires par techno
Q080 | V2 | survey.stackoverflow.co 2025 TypeScript percentage "TypeScript" used professional developers Python Java C# percentage
Q081 | V2/V4 | Apec "métiers cadres porteurs" 2025 OR 2026 informatique développeur données IA cloud offres part
Q082 | V2 | WeLoveDevs statistiques 2025 OR 2026 offres développeurs France technologies les plus demandées salaires
Q083 | V2 | Global Knowledge "baromètre emploi informatique" 2025 OR 2026 compétences les plus demandées offres France
Q084 | V2 | Hays OR "Robert Half" OR Michael Page guide salaires 2026 France développeurs compétences les plus recherchées tech
Q085 | V3 | hiringlab.org/fr intelligence artificielle offres d'emploi France part des offres mentionnant l'IA 2025 OR 2026 développement logiciel
Q086 | V3 | Indeed Hiring Lab "AI" job postings July 2026 software development postings share mentioning AI GenAI
Q087 | V3 | Stack Overflow Developer Survey 2025 AI tools usage percentage developers use AI trust accuracy
Q088 | V3 | JetBrains State of Developer Ecosystem 2025 AI coding assistants adoption percentage developers regularly use AI
Q089 | V3 | GitHub Octoverse 2025 France developers growth Copilot TypeScript most used language AI (pas de donnée France)
Q090 | V3 | Stanford "Canaries in the Coal Mine" 2025 Brynjolfsson young software developers employment decline 22-25 AI exposed
Q091 | V3 | Anthropic Economic Index 2025 OR 2026 software development share of Claude usage coding automation augmentation percentage France
Q092 | V3 | Dares OR "France Stratégie" OR "Conseil d'analyse économique" IA générative emploi développeurs informatique exposition métiers étude 2025 2026
Q093 | V3 | OPIIEC "IA générative" métiers du numérique étude impact développeur compétences 2025 OR 2026
Q094 | V3 | Numeum OR Syntec IA générative impact emploi développeurs juniors ESN recrutement 2026 déclaration
Q095 | V3 | Capgemini OR "Sopra Steria" OR Atos OR CGI OR "Accenture France" juniors IA générative recrutement développeurs 2026 baisse embauches jeunes diplômés
Q096 | V3 | "développeur augmenté" IA fiche métier Onisep OR "France Travail" OR Apec OR école 2026 compétences IA développeur (pas de fiche 'développeur augmenté' trouvée)
Q097 | V3 | Apec "Les cadres et l'IA" 2026 informaticiens usage IA générative résultats chiffres développeurs
Q098 | V3 | LinkedIn "Jobs on the Rise" 2026 France "AI engineer" OR "ingénieur IA" métiers en croissance France
Q099 | V3 | site:fr.indeed.com "Copilot" OR "Cursor" OR "LLM" OR "RAG" OR "IA générative" développeur emplois "plus de"
Q100 | V3 | offres d'emploi "AI engineer" OR "LLM engineer" France croissance 2025 2026 nombre d'offres étude HelloWork OR Free-Work OR Apec
Q101 | V3 | Stack Overflow 2025 survey AI agents "vibe coding" percentage developers agents usage
Q102 | V3 | enquête développeurs France 2025 OR 2026 utilisation Copilot Cursor ChatGPT part des développeurs français WeLoveDevs OR Malt OR "Welcome to the Jungle" OR CodinGame
Q103 | V3 | blogdumoderateur "comment les développeurs codent avec l'IA" 2026 chiffres part des développeurs outils IA France
Q104 | V3 | welovedevs "développeur en 2025" étude IA utilisation part des développeurs français Copilot ChatGPT productivité
Q105 | V3 | DORA 2025 report AI adoption developers percentage productivity OR METR study 2025 AI slows experienced developers 19%
Q106 | V3 | Indeed Hiring Lab GenAI skills tech job postings share Europe France 2025 "generative AI" mentions software developers
Q107 | V3 | LinkedIn Economic Graph 2025 OR 2026 France compétences IA "AI literacy" offres skills "AI talent" France croissance
Q108 | V3 | France Travail OR Onisep 2026 "développeur" métier transformé par l'IA générative article compétences évolution du métier
Q109 | V3 | Indeed Hiring Lab "How Employers Are Talking About AI in Job Postings" October 2025 software development share AI mentions
Q110 | V3 | Indeed Hiring Lab "AI at Work Report 2025" GenAI skills software development occupations exposure percentage
Q111 | V3 | Apec mai 2026 "pratiques de recrutement" cadres IA marché moins tendu jeunes diplômés débutants informatique chiffres
Q112 | V3 | Accenture OR CGI OR Atos OR Capgemini France 2026 IA générative "jeunes diplômés" OR juniors embauches dirigeant déclaration interview (pas de déclaration nominative de dirigeant ESN trouvée)
Q113 | V3 | Microsoft "Work Trend Index" 2025 France IA générative salariés utilisation chiffres OR "IA générative" entreprises françaises adoption 2026 Bpifrance OR INSEE
Q114 | V3 | écoles développement web France 2026 insertion juniors IA Epitech OR "Le Wagon" OR OpenClassrooms OR "Wild Code School" taux d'insertion baisse marché junior
Q115 | V4 | BMO 2026 "ingénieurs et cadres d'étude, R&D en informatique" projets de recrutement France Travail part difficile
Q116 | V4 | BMO 2026 Île-de-France "ingénieurs et cadres d'étude" informatique projets de recrutement difficultés France Travail
Q117 | V4 | BMO 2026 Auvergne-Rhône-Alpes ingénieurs informatique projets de recrutement Lyon métiers les plus recherchés
Q118 | V4 | BMO 2026 Hauts-de-France ingénieurs informatique projets de recrutement Lille métiers les plus recherchés
Q119 | V4 | BMO 2026 Nouvelle-Aquitaine ingénieurs informatique projets de recrutement Bordeaux métiers les plus recherchés
Q120 | V4 | BMO 2026 Pays de la Loire ingénieurs informatique projets de recrutement Nantes métiers les plus recherchés (pas de chiffre métier)
Q121 | V4 | BMO 2026 Provence-Alpes-Côte d'Azur ingénieurs informatique projets de recrutement Marseille Aix-en-Provence France Travail
Q122 | V4 | BMO 2026 Occitanie ingénieurs informatique projets de recrutement Toulouse France Travail part difficile
Q123 | V4 | BMO 2026 Bretagne OR "Grand Est" OR Normandie OR "Bourgogne-Franche-Comté" OR "Centre-Val de Loire" ingénieurs informatique projets de recrutement (pas de chiffre métier)
Q124 | V4 | BMO "techniciens d'étude et de développement en informatique" 2026 OR 2025 projets de recrutement part difficile région (pas de chiffre pour cette FAP)
Q125 | V4 | statistiques.francetravail.org bmo 2026 bassin Paris OR Lyon OR Marseille OR Toulouse "ingénieurs et cadres d'étude" informatique projets
Q126 | V4 | BMO 2025 "ingénieurs et cadres d'étude, R&D en informatique" projets de recrutement 2025 France part difficile régions
Q127 | V4 | Apec "Prévisions de recrutements de cadres 2026" Île-de-France informatique recrutements cadres région chiffres
Q128 | V4 | Apec prévisions 2026 recrutements cadres Auvergne-Rhône-Alpes OR "Hauts-de-France" OR "Nouvelle-Aquitaine" informatique région chiffres (pas de chiffre régional dans extraits)
Q129 | V4 | Apec prévisions 2026 recrutements cadres "Pays de la Loire" OR "Provence-Alpes-Côte d'Azur" OR Occitanie OR Bretagne informatique région chiffres (PDF PACA-Corse identifié, pas de chiffre)
Q130 | V4 | Dares tensions 2024 OR 2025 "ingénieurs de l'informatique" métiers en tension par région indicateur de tension
Q131 | V4 | INSEE population active par région 2024 OR 2025 emploi total par région tableau (pages INSEE identifiées, pas de chiffre régional dans extraits)
Q132 | V4 | Numeum OR INSEE effectifs numérique par région emploi secteur numérique NAF 62 région 2024 2025
Q133 | V4 | INSEE "Insee Analyses" numérique emploi région ... emplois du numérique part 2024 2025
Q134 | V4 | télétravail part des offres d'emploi tech développeurs France 2025 2026 étude HelloWork OR Apec OR Indeed OR Free-Work pourcentage offres télétravail
Q135 | V4 | Lyon écosystème tech 2026 emploi numérique effectifs recruteurs French Tech Lyon Saint-Étienne chiffres startups ESN
Q136 | V4 | Lille écosystème tech 2026 emploi numérique effectifs recruteurs EuraTechnologies French Tech Lille chiffres startups ESN
Q137 | V4 | Bordeaux écosystème tech 2026 emploi numérique effectifs recruteurs French Tech Bordeaux chiffres startups ESN
Q138 | V4 | Nantes écosystème tech 2026 emploi numérique effectifs recruteurs French Tech Nantes ADN Ouest chiffres startups ESN
Q139 | V4 | Marseille Aix-en-Provence écosystème tech 2026 emploi numérique effectifs recruteurs French Tech Aix-Marseille thecamp chiffres startups ESN (pas de chiffre emploi)
Q140 | V4 | Paris Île-de-France écosystème tech 2026 emploi numérique effectifs recruteurs ESN startups Station F chiffres emplois numériques Île-de-France
Q141 | V4 | Toulouse écosystème tech 2026 emploi numérique effectifs French Tech Toulouse chiffres startups ESN développeurs
Q142 | V4 | HelloWork baromètre 2026 offres d'emploi par région Île-de-France Auvergne-Rhône-Alpes part des offres informatique région
Q143 | V4 | Apec offres d'emploi cadres informatique par région 2025 part ...
Q144 | V4 | INSEE emploi total par région 2024 chiffres ... estimations d'emploi régional
Q145 | V4 | "Insee Analyses" OR "Insee Flash" 2024 OR 2025 emplois du numérique HDF OR PDL OR NAQ OR PACA OR Occitanie nombre d'emplois numériques région
Q146 | V4 | BMO 2026 bassin d'emploi Lyon OR Marseille OR Bordeaux OR Nantes OR Toulouse PDF France Travail "ingénieurs" informatique projets top métiers (aucun PDF bassin NEXA)
Q147 | V4 | France Travail "Éclairages et synthèses" 2026 "métiers du numérique" offres d'emploi développeurs région répartition
Q148 | V4 | Apec "Data cadre" OR "baromètre" offres cadres informatique région 2025 OR 2026 Auvergne-Rhône-Alpes Lyon nombre d'offres informatique
Q149 | V4 | Dares "métiers en tension" 2025 liste régionale arrêté 21 mai 2025 "ingénieurs" informatique régions concernées
Q150 | V4 | Numeum panorama régional 2025 OR 2026 "emploi numérique" région ... (pas de données régionales)
Q151 | V4 | Apec "Prévisions 2026 de recrutements de cadres" HDF OR NAQ OR PDL OR Occitanie PDF corporate.apec.fr "Nos regions"
Q152 | V4 | "BMO 2026" Île-de-France numérique "techniciens" informatique projets OR "Paris" bassin projets de recrutement informatique 2026
Q153 | V4 | Numeum délégation régionale chiffres clés numérique emplois entreprises 2025 (résultat : Via Compétences ARA)
Q154 | V4 | INSEE "population active" région 2024 OR 2025 ... millions actifs tableau régions (données anciennes/projections)
Q155 | V4 | Data Emploi France Travail M1805 région chiffres-clés offres diffusées demandeurs d'emploi développeur informatique 2025 (pages identifiées, sans chiffre)
Q156 | V4 | Grande École du Numérique OR "Talents du numérique" tendances emploi métiers du numérique 2025 OR 2026 par région offres développeur part régionale
